iter	Accuracy	CrossEntropy
472	0.9816091954	0.3007156718
473	0.9816091954	0.3002986359
474	0.9816091954	0.2998423646
475	0.9816091954	0.2993810078
476	0.9816091954	0.2989283893
477	0.9816091954	0.298686066
478	0.9816091954	0.2983378967
479	0.9816091954	0.2975938196
480	0.9816091954	0.296942291
481	0.9816091954	0.2966590166
482	0.9816091954	0.2963143058
483	0.9816091954	0.2957560402
484	0.9816091954	0.2952238772
485	0.9816091954	0.2946983148
486	0.9816091954	0.2942935709
487	0.9816091954	0.2935312231
488	0.9816091954	0.2931390127
489	0.9816091954	0.2924235163
490	0.9816091954	0.2920382545
491	0.9816091954	0.2916698338
492	0.9816091954	0.2910475534
493	0.9816091954	0.2906113297
494	0.9816091954	0.2901034135
495	0.9816091954	0.2894949084
496	0.9816091954	0.2892038316
497	0.9816091954	0.2886280968
498	0.9816091954	0.2881966017
499	0.9816091954	0.2878761538
