task_type	ag_pos	ag_neg	seed_id	split_id	r	p	r2	r_pos	r_pos2	p_pos	slope	intercept	slope_pos	intercept_pos	logits_mean	logits_std	Energy_mean	Energy_std	logits_pos_mean	logits_pos_std	Energy_pos_mean	Energy_pos_std	logits_neg_mean	logits_neg_std	Energy_neg_mean	Energy_neg_std
1v9	1FBI	auto	0	2	-0.22897133626287197	1.7589947697510117e-60	0.05242787283000519	-0.22897133626287197	0.05242787283000519	1.7589947697510117e-60	-0.14167503173044477	-91.09955147799909	-0.14167503173044477	-91.09955147799909	3.6759513348251582	2.2740236337984983	-91.620342	1.4070423649198829	3.6759513348251582	2.2740236337984983	-91.620342	1.4070423649198829				
high_vs_95low	1FBI	auto	0	2	-0.953892292762485	0.0	0.9099105061916704	-0.5973485904172426	0.3568253384734667	0.0	-1.1403191723523483	-85.31771006108201	-0.3872854066068754	-89.67749336174063	-2.059015245914459	7.8888965453600735	-82.96977549999998	9.430687350797438	5.01658106687069	2.1702206150912478	-91.620342	1.4070423649198829	-9.134611558699607	4.429877348420761	-74.319209	5.12046973249284
high_vs_looser	1FBI	auto	0	2	-0.8128435894945536	0.0	0.6607147009823904	-0.6846754226910747	0.46878043443720185	0.0	-0.8818591648231017	-89.4769254550346	-0.6312490641217858	-90.58764235194816	0.0350254850178957	2.280785505101697	-89.507813	2.4744386578976134	1.6359622639417648	1.526128719550688	-91.620342	1.4070423649198829	-1.5659112939059734	1.7172402953053372	-87.395284	1.1575002897313416
1v9	1FBI	auto	0	3	-0.2298864115150977	5.7878643931661546e-61	0.05284776219928884	-0.2298864115150977	0.05284776219928884	5.7878643931661546e-61	-0.14319876565187276	-91.09991126901869	-0.14319876565187276	-91.09991126901869	3.605916074979305	2.2716435602729472	-91.616274	1.4150316745048395	3.605916074979305	2.2716435602729472	-91.616274	1.4150316745048395				
high_vs_95low	1FBI	auto	0	3	-0.9535102591962352	0.0	0.9091818143924717	-0.6009888986856005	0.36118765634333094	0.0	-1.1341388699595893	-85.34128959287355	-0.379457693724899	-89.7156220376218	-2.1362931445598603	7.9853689394367295	-82.9184365	9.498080610918052	5.008863949286938	2.2411413491657255	-91.616274	1.4150316745048395	-9.281450238406658	4.516116721359235	-74.22059899999999	5.206513315298398
high_vs_looser	1FBI	auto	0	3	-0.8128737550049624	0.0	0.6607637415758676	-0.6825130110609079	0.465824010267427	0.0	-0.8992625951081346	-89.47837905379488	-0.6269130735690324	-90.62455642272063	0.026039052811264993	2.2428816887057224	-89.501795	2.481245821368326	1.5819060394346713	1.5405286149396327	-91.616274	1.4150316745048395	-1.5298279338121414	1.6871282665737541	-87.387316	1.1697208750505892
1v9	1FBI	auto	0	4	-0.25510920330981013	4.0652529564158313e-75	0.06508070561336604	-0.25510920330981013	0.06508070561336604	4.0652529564158313e-75	-0.16303244444023426	-91.05078292129788	-0.16303244444023426	-91.05078292129788	3.5434117465734483	2.265254526264513	-91.628474	1.4476544864111751	3.5434117465734483	2.265254526264513	-91.628474	1.4476544864111751				
high_vs_95low	1FBI	auto	0	4	-0.9553947244109176	0.0	0.9127790794322131	-0.6168213713684845	0.3804686041768978	0.0	-1.119729359786518	-85.40140903756155	-0.39116286074964557	-89.65871328561914	-2.1250258794814347	8.016096778102012	-83.02195517	9.394921998198534	5.035653718775511	2.2827939847473937	-91.628474	1.4476544864111751	-9.28570547773838	4.554793300883859	-74.41543634	5.1261197898415745
high_vs_looser	1FBI	auto	0	4	-0.8164712424200521	0.0	0.6666252896989434	-0.6947045996146853	0.48261448072580027	0.0	-0.8754924549738468	-89.50457550562442	-0.6280753919729486	-90.60941133563918	-0.00029184217751026154	2.328733433910296	-89.50431999999999	2.4970733139244117	1.6225164644002914	1.601228520040525	-91.628474	1.4476544864111751	-1.623100148755312	1.7363996206629055	-87.380166	1.1620793768670086
1v9	2YPV	auto	0	42	-0.033133953275164565	0.01913031682670736	0.0010978588596407886	-0.033133953275164565	0.0010978588596407886	0.01913031682670736	-0.02984337242316937	-96.78973451940412	-0.02984337242316937	-96.78973451940412	1.9082789903342723	1.6393754311824997	-96.84668400000001	1.4765666845689016	1.9082789903342723	1.6393754311824997	-96.84668400000001	1.4765666845689016				
high_vs_95low	2YPV	auto	0	42	-0.9385066166095659	0.0	0.8807946694199348	-0.6559134271979202	0.4302224239785214	0.0	-1.265557790289799	-91.01727528799591	-0.5395073203064605	-94.71360575821033	-1.591890787962079	6.430056256226504	-89.0026455	8.6708049182082	3.953752176296711	1.7951562066140423	-96.84668400000001	1.4765666845689016	-7.137533752220869	4.237489350067116	-81.158607	5.011787085113276
high_vs_looser	2YPV	auto	0	42	-0.7192193132436782	0.0	0.5172764205427081	-0.6988218014638057	0.4883519102011186	0.0	-0.9478487282041179	-94.77562323979068	-0.8666799118116	-95.86068773572507	0.0051788434833288195	1.855741280498092	-94.780532	2.44565458714267	1.1376706103801728	1.1905860242393094	-96.84668400000001	1.4765666845689016	-1.127312923413515	1.7044520791889097	-92.71438	1.1152237086719736
1v9	2YPV	auto	1	42	-0.03314299419470592	0.019097543695038518	0.0010984580641903103	-0.03314299419470592	0.0010984580641903103	0.019097543695038518	-0.029856655085542715	-96.78951803751104	-0.029856655085542715	-96.78951803751104	1.914680741199851	1.639093224426309	-96.84668400000001	1.4765666845689016	1.914680741199851	1.639093224426309	-96.84668400000001	1.4765666845689016				
high_vs_95low	2YPV	auto	1	42	-0.9385208157061757	0.0	0.8808213215137854	-0.6554308902058474	0.42958965183602965	0.0	-1.2655549797072552	-91.01126195000643	-0.5393307839781686	-94.71219919068655	-1.5871427810043097	6.430167819772026	-89.0026455	8.6708049182082	3.957654324066639	1.7944227276937268	-96.84668400000001	1.4765666845689016	-7.1319398860752585	4.240351904995157	-81.158607	5.011787085113276
high_vs_looser	2YPV	auto	1	42	-0.7192727649147207	0.0	0.5173533103480671	-0.6993064469094078	0.48902950668906037	0.0	-0.9489908449936129	-94.77013195042036	-0.8697238607505148	-95.85315815903523	0.01095906207561493	1.8536456344131982	-94.780532	2.44565458714267	1.142346307605505	1.1872418918340666	-96.84668400000001	1.4765666845689016	-1.120428183454275	1.7036906961561564	-92.71438	1.1152237086719736
