,neurons,activation,learning_rate,accuracy,task,target
11,30,relu,0.0001,0.8139180752246079,vs_Non-binder,P49841
0,5,relu,0.001,0.7250393381046648,shuffled_weak,P49841
1,5,relu,0.0005,0.7283978816642133,shuffled_weak,P49841
2,5,relu,0.0001,0.7250562577195744,shuffled_weak,P49841
3,10,relu,0.001,0.7468064226858196,shuffled_weak,P49841
4,10,relu,0.0005,0.7401400944114512,shuffled_weak,P49841
5,10,relu,0.0001,0.7250393381046648,shuffled_weak,P49841
6,20,relu,0.001,0.7720335685159806,shuffled_weak,P49841
7,20,relu,0.0005,0.7535065901900073,shuffled_weak,P49841
8,20,relu,0.0001,0.7418066764800434,shuffled_weak,P49841
9,30,relu,0.001,0.7854423633318106,shuffled_weak,P49841
10,30,relu,0.0005,0.7619494780298801,shuffled_weak,P49841
11,30,relu,0.0001,0.7585824746628766,shuffled_weak,P49841
0,5,relu,0.001,0.794973834732871,vs_Weak,Q13627
1,5,relu,0.0005,0.7848971644152368,vs_Weak,Q13627
2,5,relu,0.0001,0.7889375684556409,vs_Weak,Q13627
3,10,relu,0.001,0.803054642813679,vs_Weak,Q13627
4,10,relu,0.0005,0.7949616648411828,vs_Weak,Q13627
5,10,relu,0.0001,0.7929536327126687,vs_Weak,Q13627
6,20,relu,0.001,0.8070950468540831,vs_Weak,Q13627
7,20,relu,0.0005,0.8171108677132773,vs_Weak,Q13627
8,20,relu,0.0001,0.8050261652671291,vs_Weak,Q13627
9,30,relu,0.001,0.815175854934891,vs_Weak,Q13627
10,30,relu,0.0005,0.8070950468540831,vs_Weak,Q13627
11,30,relu,0.0001,0.7970183765364488,vs_Weak,Q13627
0,5,relu,0.001,0.7004624558841427,vs_all,Q13627
1,5,relu,0.0005,0.7647681635633443,vs_all,Q13627
2,5,relu,0.0001,0.7607277595229403,vs_all,Q13627
3,10,relu,0.001,0.7768772057928685,vs_all,Q13627
4,10,relu,0.0005,0.7708409395156384,vs_all,Q13627
5,10,relu,0.0001,0.7708165997322624,vs_all,Q13627
6,20,relu,0.001,0.7688572471705002,vs_all,Q13627
7,20,relu,0.0005,0.7909456005841548,vs_all,Q13627
8,20,relu,0.0001,0.7809054399415846,vs_all,Q13627
9,30,relu,0.001,0.7749056833394183,vs_all,Q13627
10,30,relu,0.0005,0.7789339174881343,vs_all,Q13627
11,30,relu,0.0001,0.7849215041986127,vs_all,Q13627
0,5,relu,0.001,0.8009614214433491,vs_Non-binder,Q13627
1,5,relu,0.0005,0.7868686868686868,vs_Non-binder,Q13627
2,5,relu,0.0001,0.7889375684556409,vs_Non-binder,Q13627
3,10,relu,0.001,0.8070220275039551,vs_Non-binder,Q13627
4,10,relu,0.0005,0.7969331872946331,vs_Non-binder,Q13627
5,10,relu,0.0001,0.8030181331386151,vs_Non-binder,Q13627
6,20,relu,0.001,0.8151028355847633,vs_Non-binder,Q13627
7,20,relu,0.0005,0.8110380917609833,vs_Non-binder,Q13627
8,20,relu,0.0001,0.8150419861263233,vs_Non-binder,Q13627
9,30,relu,0.001,0.8191554095168553,vs_Non-binder,Q13627
10,30,relu,0.0005,0.8150906656930753,vs_Non-binder,Q13627
11,30,relu,0.0001,0.8231471339905075,vs_Non-binder,Q13627
0,5,relu,0.001,0.7125471583302909,shuffled_weak,Q13627
1,5,relu,0.0005,0.7105391262017768,shuffled_weak,Q13627
2,5,relu,0.0001,0.6984057441888768,shuffled_weak,Q13627
3,10,relu,0.001,0.7327126688572472,shuffled_weak,Q13627
4,10,relu,0.0005,0.720603626627723,shuffled_weak,Q13627
5,10,relu,0.0001,0.718583424607521,shuffled_weak,Q13627
6,20,relu,0.001,0.7467323840817817,shuffled_weak,Q13627
7,20,relu,0.0005,0.7387002555677255,shuffled_weak,Q13627
8,20,relu,0.0001,0.7085189241815747,shuffled_weak,Q13627
9,30,relu,0.001,0.7487769258853595,shuffled_weak,Q13627
10,30,relu,0.0005,0.7527929901423877,shuffled_weak,Q13627
11,30,relu,0.0001,0.7387124254594134,shuffled_weak,Q13627
0,5,relu,0.001,0.7576042741788598,vs_Weak,P06239
1,5,relu,0.0005,0.7558132475259547,vs_Weak,P06239
