,neurons,activation,learning_rate,accuracy,task,target,epochs,batch_size
0,10,relu,0.001,0.8352683461117195,vs_Weak,Q13627,20,32
0,10,relu,0.001,0.851356942923208,vs_Weak,Q13627,30,32
0,10,relu,0.001,0.8252281854691493,vs_Weak,Q13627,40,32
0,10,relu,0.001,0.8252160155774613,vs_Weak,Q13627,100,32
0,10,relu,0.001,0.7728368017524644,vs_Weak,Q13627,10,64
0,10,relu,0.001,0.8191554095168554,vs_Weak,Q13627,20,64
0,10,relu,0.001,0.8312401119630035,vs_Weak,Q13627,30,64
0,10,relu,0.001,0.8312644517463794,vs_Weak,Q13627,40,64
0,10,relu,0.001,0.8352805160034076,vs_Weak,Q13627,100,64
0,10,relu,0.001,0.801022270901789,vs_all,Q13627,10,8
0,10,relu,0.001,0.8010466106851649,vs_all,Q13627,20,8
0,10,relu,0.001,0.7929779724960447,vs_all,Q13627,30,8
0,10,relu,0.001,0.805050505050505,vs_all,Q13627,40,8
0,10,relu,0.001,0.7889862480223927,vs_all,Q13627,100,8
0,10,relu,0.001,0.7869782158938786,vs_all,Q13627,10,16
0,10,relu,0.001,0.8010344407934769,vs_all,Q13627,20,16
0,10,relu,0.001,0.799002068881587,vs_all,Q13627,30,16
0,10,relu,0.001,0.8010466106851649,vs_all,Q13627,40,16
0,10,relu,0.001,0.7950225142996228,vs_all,Q13627,100,16
0,10,relu,0.001,0.7788974078130705,vs_all,Q13627,10,32
0,10,relu,0.001,0.809115248874285,vs_all,Q13627,20,32
0,10,relu,0.001,0.8031033223804308,vs_all,Q13627,30,32
0,10,relu,0.001,0.8051113545089449,vs_all,Q13627,40,32
0,10,relu,0.001,0.7930388219544846,vs_all,Q13627,100,32
0,10,relu,0.001,0.7527199707922599,vs_all,Q13627,10,64
0,10,relu,0.001,0.7929901423877328,vs_all,Q13627,20,64
0,10,relu,0.001,0.7990629183400267,vs_all,Q13627,30,64
0,10,relu,0.001,0.7970427163198247,vs_all,Q13627,40,64
0,10,relu,0.001,0.7909821102592187,vs_all,Q13627,100,64
0,10,relu,0.001,0.8311914323962517,vs_Non-binder,Q13627,10,8
0,10,relu,0.001,0.8331994645247658,vs_Non-binder,Q13627,20,8
0,10,relu,0.001,0.8372763782402336,vs_Non-binder,Q13627,30,8
0,10,relu,0.001,0.8311914323962517,vs_Non-binder,Q13627,40,8
0,10,relu,0.001,0.8251551661190216,vs_Non-binder,Q13627,100,8
0,10,relu,0.001,0.8211634416453694,vs_Non-binder,Q13627,10,16
0,10,relu,0.001,0.8432883047340879,vs_Non-binder,Q13627,20,16
0,10,relu,0.001,0.8332116344164536,vs_Non-binder,Q13627,30,16
0,10,relu,0.001,0.8392479006936838,vs_Non-binder,Q13627,40,16
0,10,relu,0.001,0.8231471339905075,vs_Non-binder,Q13627,100,16
0,10,relu,0.001,0.8291712303760496,vs_Non-binder,Q13627,10,32
0,10,relu,0.001,0.8412802726055738,vs_Non-binder,Q13627,20,32
0,10,relu,0.001,0.8412924424972618,vs_Non-binder,Q13627,30,32
0,10,relu,0.001,0.8392722404770598,vs_Non-binder,Q13627,40,32
0,10,relu,0.001,0.8292077400511135,vs_Non-binder,Q13627,100,32
0,10,relu,0.001,0.7808689302665206,vs_Non-binder,Q13627,10,64
0,10,relu,0.001,0.8311914323962517,vs_Non-binder,Q13627,20,64
0,10,relu,0.001,0.8211269319703055,vs_Non-binder,Q13627,30,64
0,10,relu,0.001,0.8312157721796276,vs_Non-binder,Q13627,40,64
0,10,relu,0.001,0.8332116344164536,vs_Non-binder,Q13627,100,64
0,10,relu,0.001,0.7849701837653645,shuffled_weak,Q13627,10,8
0,10,relu,0.001,0.7669465741754898,shuffled_weak,Q13627,20,8
0,10,relu,0.001,0.7810271388584642,shuffled_weak,Q13627,30,8
0,10,relu,0.001,0.7870147255689425,shuffled_weak,Q13627,40,8
0,10,relu,0.001,0.7285749056833394,shuffled_weak,Q13627,100,8
0,10,relu,0.001,0.7407204575879275,shuffled_weak,Q13627,10,16
0,10,relu,0.001,0.779006936838262,shuffled_weak,Q13627,20,16
0,10,relu,0.001,0.7749543629061701,shuffled_weak,Q13627,30,16
0,10,relu,0.001,0.7810027990750883,shuffled_weak,Q13627,40,16
0,10,relu,0.001,0.775027382256298,shuffled_weak,Q13627,100,16
0,10,relu,0.001,0.722623828647925,shuffled_weak,Q13627,10,32
0,10,relu,0.001,0.7689180966289401,shuffled_weak,Q13627,20,32
0,10,relu,0.001,0.7891079469392722,shuffled_weak,Q13627,30,32
0,10,relu,0.001,0.7669709139588657,shuffled_weak,Q13627,40,32
0,10,relu,0.001,0.777035414384812,shuffled_weak,Q13627,100,32
0,10,relu,0.001,0.6963977120603627,shuffled_weak,Q13627,10,64
0,10,relu,0.001,0.7668613849336742,shuffled_weak,Q13627,20,64
0,10,relu,0.001,0.770938298649142,shuffled_weak,Q13627,30,64
0,10,relu,0.001,0.772970670561032,shuffled_weak,Q13627,40,64
0,10,relu,0.001,0.7729585006693439,shuffled_weak,Q13627,100,64
0,10,relu,0.001,0.8146945135895413,vs_Weak,P06239,10,8
0,10,relu,0.001,0.8331309574403497,vs_Weak,P06239,20,8
0,10,relu,0.001,0.8110517475158359,vs_Weak,P06239,30,8
0,10,relu,0.001,0.8202800882358893,vs_Weak,P06239,40,8
0,10,relu,0.001,0.8239329731042438,vs_Weak,P06239,100,8
0,10,relu,0.001,0.7981604031327788,vs_Weak,P06239,10,16
0,10,relu,0.001,0.8257948313196932,vs_Weak,P06239,20,16
0,10,relu,0.001,0.8276162143565458,vs_Weak,P06239,30,16
0,10,relu,0.001,0.8165867281889381,vs_Weak,P06239,40,16
0,10,relu,0.001,0.8073583874688847,vs_Weak,P06239,100,16
0,10,relu,0.001,0.7778722198611702,vs_Weak,P06239,10,32
0,10,relu,0.001,0.8239329731042438,vs_Weak,P06239,20,32
0,10,relu,0.001,0.812893368141987,vs_Weak,P06239,30,32
0,10,relu,0.001,0.8331410762349988,vs_Weak,P06239,40,32
0,10,relu,0.001,0.8165462530103413,vs_Weak,P06239,100,32
0,10,relu,0.001,0.7410802825167466,vs_Weak,P06239,10,64
0,10,relu,0.001,0.8092101268896849,vs_Weak,P06239,20,64
0,10,relu,0.001,0.8037156213951794,vs_Weak,P06239,30,64
0,10,relu,0.001,0.8202902070305385,vs_Weak,P06239,40,64
0,10,relu,0.001,0.8128832493473377,vs_Weak,P06239,100,64
0,10,relu,0.001,0.8330601258778055,vs_all,P06239,10,8
0,10,relu,0.001,0.8330803634671038,vs_all,P06239,20,8
0,10,relu,0.001,0.8422884665978588,vs_all,P06239,30,8
0,10,relu,0.001,0.8201890190840467,vs_all,P06239,40,8
0,10,relu,0.001,0.8349118652986056,vs_all,P06239,100,8
0,10,relu,0.001,0.8091696517110881,vs_all,P06239,10,16
0,10,relu,0.001,0.8404468459717078,vs_all,P06239,20,16
0,10,relu,0.001,0.8422581102139114,vs_all,P06239,30,16
0,10,relu,0.001,0.831248861635602,vs_all,P06239,40,16
0,10,relu,0.001,0.8276060955618966,vs_all,P06239,100,16
0,10,relu,0.001,0.7944468054965294,vs_all,P06239,10,32
0,10,relu,0.001,0.8330803634671038,vs_all,P06239,20,32
0,10,relu,0.001,0.8349219840932548,vs_all,P06239,30,32
0,10,relu,0.001,0.8330702446724546,vs_all,P06239,40,32
0,10,relu,0.001,0.8220609960941453,vs_all,P06239,100,32
0,10,relu,0.001,0.7723979519559631,vs_all,P06239,10,64
0,10,relu,0.001,0.8312387428409528,vs_all,P06239,20,64
0,10,relu,0.001,0.8367534859247567,vs_all,P06239,30,64
0,10,relu,0.001,0.8367534859247567,vs_all,P06239,40,64
0,10,relu,0.001,0.8202092566733451,vs_all,P06239,100,64
0,10,relu,0.001,0.8496245927185154,vs_Non-binder,P06239,10,8
0,10,relu,0.001,0.8606743164754215,vs_Non-binder,P06239,20,8
0,10,relu,0.001,0.8569809564284702,vs_Non-binder,P06239,30,8
0,10,relu,0.001,0.8532774775868699,vs_Non-binder,P06239,40,8
0,10,relu,0.001,0.8514459757553681,vs_Non-binder,P06239,100,8
0,10,relu,0.001,0.8495942363345678,vs_Non-binder,P06239,10,16
0,10,relu,0.001,0.8533280715601158,vs_Non-binder,P06239,20,16
0,10,relu,0.001,0.8569809564284703,vs_Non-binder,P06239,30,16
0,10,relu,0.001,0.8551494545969685,vs_Non-binder,P06239,40,16
0,10,relu,0.001,0.8404164895877603,vs_Non-binder,P06239,100,16
0,10,relu,0.001,0.8238419039524012,vs_Non-binder,P06239,10,32
0,10,relu,0.001,0.8624855807176249,vs_Non-binder,P06239,20,32
0,10,relu,0.001,0.8569809564284702,vs_Non-binder,P06239,30,32
0,10,relu,0.001,0.8514662133446663,vs_Non-binder,P06239,40,32
0,10,relu,0.001,0.8404063707931111,vs_Non-binder,P06239,100,32
0,10,relu,0.001,0.8109505595693441,vs_Non-binder,P06239,10,64
0,10,relu,0.001,0.8551494545969685,vs_Non-binder,P06239,20,64
0,10,relu,0.001,0.8514662133446663,vs_Non-binder,P06239,30,64
0,10,relu,0.001,0.8533078339708174,vs_Non-binder,P06239,40,64
0,10,relu,0.001,0.8422581102139114,vs_Non-binder,P06239,100,64
0,10,relu,0.001,0.75772569971465,shuffled_weak,P06239,10,8
0,10,relu,0.001,0.7816971242385607,shuffled_weak,P06239,20,8
0,10,relu,0.001,0.7780442393702063,shuffled_weak,P06239,30,8
0,10,relu,0.001,0.7798656224070588,shuffled_weak,P06239,40,8
0,10,relu,0.001,0.7577560560985975,shuffled_weak,P06239,100,8
0,10,relu,0.001,0.7430129722947402,shuffled_weak,P06239,10,16
0,10,relu,0.001,0.7927468479954668,shuffled_weak,P06239,20,16
0,10,relu,0.001,0.7798656224070588,shuffled_weak,P06239,30,16
0,10,relu,0.001,0.7964098516584704,shuffled_weak,P06239,40,16
0,10,relu,0.001,0.7706575192763038,shuffled_weak,P06239,100,16
0,10,relu,0.001,0.7282901260801813,shuffled_weak,P06239,10,32
0,10,relu,0.001,0.7835387448647118,shuffled_weak,P06239,20,32
0,10,relu,0.001,0.7872118673223646,shuffled_weak,P06239,30,32
0,10,relu,0.001,0.7743407605286059,shuffled_weak,P06239,40,32
0,10,relu,0.001,0.7817173618278591,shuffled_weak,P06239,100,32
0,10,relu,0.001,0.7025276749033655,shuffled_weak,P06239,10,64
0,10,relu,0.001,0.7724789023131563,shuffled_weak,P06239,20,64
0,10,relu,0.001,0.7853904842855118,shuffled_weak,P06239,30,64
0,10,relu,0.001,0.7853601279015644,shuffled_weak,P06239,40,64
0,10,relu,0.001,0.770667638070953,shuffled_weak,P06239,100,64
0,10,relu,0.001,0.7974580712788261,vs_Weak,Q13464,10,8
0,10,relu,0.001,0.8037735849056604,vs_Weak,Q13464,20,8
0,10,relu,0.001,0.7996462264150944,vs_Weak,Q13464,30,8
0,10,relu,0.001,0.8017688679245283,vs_Weak,Q13464,40,8
0,10,relu,0.001,0.7703485324947589,vs_Weak,Q13464,100,8
0,10,relu,0.001,0.7764281970649897,vs_Weak,Q13464,10,16
0,10,relu,0.001,0.8079795597484276,vs_Weak,Q13464,20,16
0,10,relu,0.001,0.8142688679245284,vs_Weak,Q13464,30,16
0,10,relu,0.001,0.7996593291404612,vs_Weak,Q13464,40,16
0,10,relu,0.001,0.7954664570230608,vs_Weak,Q13464,100,16
0,10,relu,0.001,0.7429376310272536,vs_Weak,Q13464,10,32
0,10,relu,0.001,0.8059093291404613,vs_Weak,Q13464,20,32
0,10,relu,0.001,0.8121986373165618,vs_Weak,Q13464,30,32
0,10,relu,0.001,0.8122248427672956,vs_Weak,Q13464,40,32
0,10,relu,0.001,0.7954795597484278,vs_Weak,Q13464,100,32
0,10,relu,0.001,0.7114779874213837,vs_Weak,Q13464,10,64
0,10,relu,0.001,0.7995938155136267,vs_Weak,Q13464,20,64
0,10,relu,0.001,0.7996331236897275,vs_Weak,Q13464,30,64
0,10,relu,0.001,0.8037997903563942,vs_Weak,Q13464,40,64
0,10,relu,0.001,0.8059093291404613,vs_Weak,Q13464,100,64
0,10,relu,0.001,0.785075995807128,vs_all,Q13464,10,8
0,10,relu,0.001,0.8039308176100629,vs_all,Q13464,20,8
0,10,relu,0.001,0.8081367924528302,vs_all,Q13464,30,8
0,10,relu,0.001,0.799685534591195,vs_all,Q13464,40,8
0,10,relu,0.001,0.8017688679245283,vs_all,Q13464,100,8
0,10,relu,0.001,0.7955188679245282,vs_all,Q13464,10,16
0,10,relu,0.001,0.7997248427672957,vs_all,Q13464,20,16
0,10,relu,0.001,0.7997772536687631,vs_all,Q13464,30,16
0,10,relu,0.001,0.795545073375262,vs_all,Q13464,40,16
0,10,relu,0.001,0.7955057651991614,vs_all,Q13464,100,16
0,10,relu,0.001,0.7766378406708595,vs_all,Q13464,10,32
0,10,relu,0.001,0.7976546121593291,vs_all,Q13464,20,32
0,10,relu,0.001,0.7934486373165619,vs_all,Q13464,30,32
0,10,relu,0.001,0.7976284067085954,vs_all,Q13464,40,32
0,10,relu,0.001,0.8018212788259959,vs_all,Q13464,100,32
0,10,relu,0.001,0.747248427672956,vs_all,Q13464,10,64
0,10,relu,0.001,0.7871724318658281,vs_all,Q13464,20,64
0,10,relu,0.001,0.7913390985324948,vs_all,Q13464,30,64
0,10,relu,0.001,0.7976415094339622,vs_all,Q13464,40,64
0,10,relu,0.001,0.795545073375262,vs_all,Q13464,100,64
0,10,relu,0.001,0.8497248427672955,vs_Non-binder,Q13464,10,8
0,10,relu,0.001,0.8518343815513627,vs_Non-binder,Q13464,20,8
0,10,relu,0.001,0.8497772536687632,vs_Non-binder,Q13464,30,8
0,10,relu,0.001,0.8497641509433963,vs_Non-binder,Q13464,40,8
0,10,relu,0.001,0.8476284067085954,vs_Non-binder,Q13464,100,8
0,10,relu,0.001,0.8434093291404613,vs_Non-binder,Q13464,10,16
0,10,relu,0.001,0.8601808176100629,vs_Non-binder,Q13464,20,16
0,10,relu,0.001,0.8518343815513627,vs_Non-binder,Q13464,30,16
0,10,relu,0.001,0.8476546121593292,vs_Non-binder,Q13464,40,16
0,10,relu,0.001,0.8476415094339623,vs_Non-binder,Q13464,100,16
0,10,relu,0.001,0.8287604821802935,vs_Non-binder,Q13464,10,32
0,10,relu,0.001,0.8560010482180292,vs_Non-binder,Q13464,20,32
0,10,relu,0.001,0.8581105870020965,vs_Non-binder,Q13464,30,32
0,10,relu,0.001,0.8602070230607968,vs_Non-binder,Q13464,40,32
0,10,relu,0.001,0.8518212788259958,vs_Non-binder,Q13464,100,32
0,10,relu,0.001,0.7743972746331238,vs_Non-binder,Q13464,10,64
0,10,relu,0.001,0.839308176100629,vs_Non-binder,Q13464,20,64
0,10,relu,0.001,0.8497510482180294,vs_Non-binder,Q13464,30,64
0,10,relu,0.001,0.853917714884696,vs_Non-binder,Q13464,40,64
0,10,relu,0.001,0.8706629979035639,vs_Non-binder,Q13464,100,64
0,10,relu,0.001,0.7662735849056604,shuffled_weak,Q13464,10,8
0,10,relu,0.001,0.7704402515723271,shuffled_weak,Q13464,20,8
0,10,relu,0.001,0.7704664570230607,shuffled_weak,Q13464,30,8
