task_type	ag_pos	ag_neg	seed_id	split_id	mean	std	mean_pos	std_pos	mean_neg	std_neg	mean_fold	std_fold	mean_pos_fold	std_pos_fold	mean_neg_fold	std_neg_fold	mean_total	std_total	mean_pos_total	std_pos_total	mean_neg_total	std_neg_total
1v1	1FBI	3VRL	0	42	-0.01945902408496078	0.2954683208804826	-0.0140081239543685	0.2947810765527773	-0.025089478062880418	0.2961311205328663							-0.01945902408496078	0.2954683208804826	-0.0140081239543685	0.2947810765527773	-0.025089478062880418	0.2961311205328663
1v1	1FBI	1NSN	0	42	-0.009299887032108205	0.30243744200569034	-0.008999155274826769	0.30428292773036086	-0.009610524959515625	0.3005808329262361							-0.009299887032108205	0.30243744200569034	-0.008999155274826769	0.30428292773036086	-0.009610524959515625	0.3005808329262361
1v1	1FBI	5E94	0	42	0.02757929135123992	0.30112729756515627	0.01804027761686323	0.29858516285909986	0.03743252229280837	0.3034768120632159							0.02757929135123992	0.30112729756515627	0.01804027761686323	0.29858516285909986	0.03743252229280837	0.3034768120632159
1v1	1FBI	1H0D	0	42	-0.04401342309647486	0.2920244791999772	-0.03908758811553135	0.28997650313081486	-0.04910151616341122	0.29409729751285324							-0.04401342309647486	0.2920244791999772	-0.03908758811553135	0.28997650313081486	-0.04910151616341122	0.29409729751285324
1v1	1FBI	1WEJ	0	42	0.034347150992569006	0.3188616201182443	0.03421259611635812	0.3178996507012665	0.03448613813595073	0.3199168473187625							0.034347150992569006	0.3188616201182443	0.03421259611635812	0.3178996507012665	0.03448613813595073	0.3199168473187625
1v1	1FBI	1ADQ	0	42	-0.03609148618987269	0.2956306848407582	-0.038634800167540784	0.2963475674136823	-0.033464394891264744	0.2949255936677471							-0.03609148618987269	0.2956306848407582	-0.038634800167540784	0.2963475674136823	-0.033464394891264744	0.2949255936677471
1v1	1FBI	1OB1	0	42	-0.02891301461139977	0.28324060852390376	-0.03861854092136928	0.28236685031003156	-0.01888778613343209	0.28384940535451464							-0.02891301461139977	0.28324060852390376	-0.03861854092136928	0.28236685031003156	-0.01888778613343209	0.28384940535451464
1v1	2YPV	3VRL	0	42	0.08339769196503904	0.3029800114167988	0.07374682163777074	0.30456615869687526	0.09336646408023282	0.30107001919499127	-0.015534530076734394	0.3362743468890564	-0.03584727991460387	0.34309919449506754	0.005159083820595131	0.3289583910047335	0.08389625872768983	0.3031142929156361	0.0741509583950782	0.30495588130031503	0.09396257139333988	0.30093093210537136
1v1	2YPV	1NSN	0	42	-0.053433168030502354	0.330827204632058	-0.05611045969433568	0.33256682973590407	-0.05066768579132519	0.32906537456997464	-0.008068108883920792	0.3129935588496677	0.016338489706099007	0.3173371101899194	-0.03293233119750346	0.3075041179975185	-0.05352494085860522	0.3306816769257471	-0.055380159490638924	0.3325483815856346	-0.051608610917423615	0.3287989895023981
1v1	2YPV	3RAJ	0	42	0.13004575404442983	0.31778022234903236	0.13263757727463565	0.3165403600371204	0.12736855558785287	0.31909814932443237	-0.02638085699163345	0.3354461390872773	-0.029494781043617895	0.34784605046833655	-0.02320854686367429	0.3233869473239364	0.13031278640474678	0.3180821393240633	0.13285373928482658	0.31646668222437296	0.12768813397880016	0.31978541657009985
1v1	2YPV	1H0D	0	42	0.03573222587311356	0.3169379222362854	0.0299087510535512	0.32045132805924603	0.0417475272320759	0.3132188795572387	-0.06334754103860389	0.34559047132959075	-0.04195816234862072	0.34810238646838804	-0.08513797057902424	0.34272689458316297	0.035288152675573385	0.3166673146670537	0.030041547555079658	0.32022328385736626	0.04070758212089835	0.31292453083876914
1v1	2YPV	1WEJ	0	42	0.06677424059842492	0.3129348475201273	0.06190201119060081	0.3114867413052755	0.07180696231289146	0.31440772359358254	0.001204235287718912	0.3409800269915736	0.004854889656654046	0.3641002687163393	-0.002514868850633752	0.31679935947424787	0.06726803369909638	0.31200460106872135	0.06250539447067703	0.3101621565032165	0.07218755530958243	0.31388358823024165
1v1	2YPV	1ADQ	0	42	-0.08013554957361961	0.31789927675204965	-0.08095936353440915	0.32029748239536177	-0.07928459900005091	0.31546580744501995	0.02955445652335469	0.3372420771888159	-0.006007554036215503	0.34607948369220665	0.06578325478091682	0.3250808102512229	-0.08046713253829235	0.3179881084483973	-0.08156563183581803	0.32032519939555015	-0.07933244843267413	0.3156169885679256
1v1	2YPV	1FBI	0	42	0.10819610199684494	0.31008942751671553	0.11479124226631879	0.30965281222607804	0.10138371635859215	0.3104556391368251	0.012906557019444617	0.3492466053499201	0.0025972432316206605	0.3597738907516269	0.02340917044079028	0.33899184582733477	0.10946766020026387	0.3098995090705461	0.11622454802088973	0.3097371684758713	0.10248819901100413	0.30997543926878196
1v1	1OB1	3VRL	0	42	0.06043043134924091	0.30717334959942394	0.06499758820794663	0.3062231872027609	0.055712831340655085	0.3081429323640984	0.027610685644975465	0.3130228321831043	0.023327542421628884	0.31144768856094335	0.03203851787423893	0.314644998139738	0.07178613470141088	0.30918925321092294	0.07591870589329222	0.30771327063107695	0.06751743570695028	0.31071136556760975
1v1	1OB1	1NSN	0	42	0.15547927518137158	0.293471418840787	0.1535199120690331	0.2913688497357388	0.15750318014490958	0.2956731921318017	-0.035954307346046044	0.3171412980885753	-0.025931220027859338	0.3203189264142721	-0.046315984915518665	0.3135509241049638	0.15349759796194032	0.28939606170131416	0.15541160334768767	0.2887251675471124	0.15152054481846805	0.29013289455354785
1v1	1OB1	3RAJ	0	42	0.07957227878693615	0.31588222000607263	0.0755881506573171	0.3170051600255096	0.08368764497206521	0.31472958403118634	0.01999574109624895	0.322760543232165	0.017497166778730405	0.3215895730248167	0.022578719837192014	0.3240118317442119	0.08929970264169557	0.3048026525276652	0.0846562204554635	0.3055868447530922	0.0940961421508576	0.30397815881474866
1v1	1OB1	5E94	0	42	-0.03231078913125067	0.3183550699283392	-0.03222830785102036	0.320021115561057	-0.032395987362964764	0.31669000112218443	0.026851635810045026	0.3279220176134805	0.0331804720882899	0.32459891150027775	0.020309004899690133	0.33126132071731496	-0.0257057579530066	0.3111079911300704	-0.024645232561866105	0.3171045793383947	-0.0268012172834242	0.304850657632091
