,train_task,jsd,acc,train_ag,train_neg,seed,split
217,vs Weak,1.3000827717845487,0.8641,1ADQ,auto,3,42
218,vs Weak,1.5733574122232956,0.9373,2YPV,auto,3,42
219,vs Weak,1.2633491145099836,0.9744,1FBI,auto,3,42
220,vs Weak,2.054203645630968,0.9106,1NSN,auto,1,42
221,vs Weak,1.3148175006193028,0.9112,1OB1,auto,1,42
222,vs Weak,1.1365369913125145,0.8873,3RAJ,auto,1,42
223,vs Weak,1.6461079861243215,0.9259,5E94,auto,1,42
224,vs Weak,1.7815201910874254,0.9526,3VRL,auto,1,42
225,vs Weak,1.201191932371917,0.8913,1H0D,auto,1,42
226,vs Weak,1.4833750103495666,0.9172,1WEJ,auto,1,42
227,vs Weak,1.3000827717845487,0.8567,1ADQ,auto,1,42
228,vs Weak,1.5733574122232956,0.9433,2YPV,auto,1,42
229,vs Weak,1.2633491145099836,0.9754,1FBI,auto,1,42
230,vs Weak,1.999265498691574,0.9046,1NSN,auto,0,4
231,vs Weak,1.3224326958103965,0.9187,1OB1,auto,0,4
232,vs Weak,1.2279705604540985,0.8763,3RAJ,auto,0,4
233,vs Weak,1.683012503484266,0.9226,5E94,auto,0,4
234,vs Weak,1.8472050830136106,0.9522,3VRL,auto,0,4
235,vs Weak,1.1996082229982203,0.8886,1H0D,auto,0,4
236,vs Weak,1.3701360844882735,0.9173,1WEJ,auto,0,4
237,vs Weak,1.3641911856695208,0.8493,1ADQ,auto,0,4
238,vs Weak,1.5996192721561995,0.9427,2YPV,auto,0,4
239,vs Weak,1.2518533500234215,0.9747,1FBI,auto,0,4
240,vs Weak,2.0092165175707,0.9053,1NSN,auto,0,3
241,vs Weak,1.3410385544494003,0.9187,1OB1,auto,0,3
242,vs Weak,1.2172744465135081,0.8798,3RAJ,auto,0,3
243,vs Weak,1.6001292285484334,0.9243,5E94,auto,0,3
244,vs Weak,1.8261071788648153,0.9501,3VRL,auto,0,3
245,vs Weak,1.1716051260893023,0.8917,1H0D,auto,0,3
246,vs Weak,1.49519908201706,0.9211,1WEJ,auto,0,3
247,vs Weak,1.4099213246111304,0.8594,1ADQ,auto,0,3
248,vs Weak,1.523113577322623,0.9337,2YPV,auto,0,3
249,vs Weak,1.2270153744475942,0.9769,1FBI,auto,0,3
250,vs Weak,2.054203645630968,0.9072,1NSN,auto,0,42
251,vs Weak,2.054203645630968,0.9072,1NSN,auto,0,42
252,vs Weak,1.3148175006193028,0.9114,1OB1,auto,0,42
253,vs Weak,1.3148175006193028,0.9114,1OB1,auto,0,42
254,vs Weak,1.1365369913125145,0.8787,3RAJ,auto,0,42
255,vs Weak,1.1365369913125145,0.8787,3RAJ,auto,0,42
256,vs Weak,1.6461079861243215,0.9201,5E94,auto,0,42
257,vs Weak,1.6461079861243215,0.9201,5E94,auto,0,42
258,vs Weak,1.7815201910874254,0.9534,3VRL,auto,0,42
259,vs Weak,1.7815201910874254,0.9534,3VRL,auto,0,42
260,vs Weak,1.201191932371917,0.8937,1H0D,auto,0,42
261,vs Weak,1.201191932371917,0.8937,1H0D,auto,0,42
262,vs Weak,1.4833750103495666,0.9184,1WEJ,auto,0,42
263,vs Weak,1.4833750103495666,0.9184,1WEJ,auto,0,42
264,vs Weak,1.3000827717845487,0.8559,1ADQ,auto,0,42
265,vs Weak,1.3000827717845487,0.8559,1ADQ,auto,0,42
266,vs Weak,1.5733574122232956,0.943,2YPV,auto,0,42
267,vs Weak,1.5733574122232956,0.943,2YPV,auto,0,42
268,vs Weak,1.2633491145099836,0.975,1FBI,auto,0,42
269,vs Weak,1.2633491145099836,0.975,1FBI,auto,0,42
270,vs Weak,1.9816284233350216,0.9144,1NSN,auto,0,2
271,vs Weak,1.3264189090992615,0.8992,1OB1,auto,0,2
272,vs Weak,1.125619214344895,0.8705,3RAJ,auto,0,2
273,vs Weak,1.6240492042875365,0.9177,5E94,auto,0,2
274,vs Weak,1.868280123572343,0.9526,3VRL,auto,0,2
275,vs Weak,1.1849013707770661,0.8938,1H0D,auto,0,2
276,vs Weak,1.4448885998634113,0.9217,1WEJ,auto,0,2
277,vs Weak,1.2796852483572625,0.8526,1ADQ,auto,0,2
278,vs Weak,1.5790050664096307,0.9405,2YPV,auto,0,2
279,vs Weak,1.2688471279931357,0.9787,1FBI,auto,0,2
280,vs Weak,1.9663341486367083,0.9064,1NSN,auto,0,0
281,vs Weak,1.341938479947431,0.9102,1OB1,auto,0,0
282,vs Weak,1.1283664757538876,0.8831,3RAJ,auto,0,0
283,vs Weak,1.6850261073241222,0.924,5E94,auto,0,0
284,vs Weak,1.8923546345744109,0.9566,3VRL,auto,0,0
285,vs Weak,1.1734779149623253,0.8943,1H0D,auto,0,0
286,vs Weak,1.5052661202356659,0.9088,1WEJ,auto,0,0
287,vs Weak,1.3549083310746788,0.8457,1ADQ,auto,0,0
288,vs Weak,1.6112397608352094,0.9368,2YPV,auto,0,0
289,vs Weak,1.2977408944899864,0.9741,1FBI,auto,0,0
290,vs Weak,1.9936865370394607,0.9048,1NSN,auto,0,1
291,vs Weak,1.4095307064313973,0.9104,1OB1,auto,0,1
292,vs Weak,1.1860734494178784,0.8753,3RAJ,auto,0,1
293,vs Weak,1.599938614825417,0.9201,5E94,auto,0,1
294,vs Weak,1.7854579290859809,0.9494,3VRL,auto,0,1
295,vs Weak,1.2599136836452014,0.8897,1H0D,auto,0,1
296,vs Weak,1.556841965207054,0.9179,1WEJ,auto,0,1
297,vs Weak,1.4254112051243213,0.8525,1ADQ,auto,0,1
298,vs Weak,1.5515712153709835,0.9365,2YPV,auto,0,1
299,vs Weak,1.2748608081909933,0.9779,1FBI,auto,0,1
300,vs 1,4.750259143857204,0.9941,1H0D,1OB1,2,42
301,vs 1,4.750259143857204,0.9943,1OB1,1H0D,2,42
302,vs 1,3.0418102677184433,0.9752,1ADQ,2YPV,2,42
303,vs 1,4.05306891486875,0.9887,1NSN,1WEJ,2,42
304,vs 1,3.4768791526825122,0.9716,3RAJ,1FBI,2,42
305,vs 1,3.5552421108358034,0.9737,1WEJ,1ADQ,2,42
306,vs 1,3.9402196925086876,0.9756,1OB1,1NSN,2,42
307,vs 1,4.124484187496733,0.9729,1ADQ,3VRL,2,42
308,vs 1,3.2064729488458386,0.9778,1H0D,1ADQ,2,42
309,vs 1,3.6887863071613625,0.9914,3VRL,1NSN,2,42
310,vs 1,4.529891593769374,0.9921,3VRL,1H0D,2,42
311,vs 1,4.0763554513763856,0.9858,2YPV,1FBI,2,42
312,vs 1,3.6045991941852202,0.9792,1WEJ,1OB1,2,42
313,vs 1,3.873642899905951,0.981,1ADQ,1FBI,2,42
314,vs 1,3.6045991941852202,0.9818,1OB1,1WEJ,2,42
315,vs 1,5.067362240009063,0.9951,1FBI,3VRL,2,42
316,vs 1,3.8742631270266794,0.9847,1NSN,1H0D,2,42
317,vs 1,2.896740479087033,0.9447,5E94,3RAJ,2,42
318,vs 1,3.285021692699048,0.9713,3RAJ,2YPV,2,42
319,vs 1,4.621036974488788,0.9909,2YPV,3VRL,2,42
320,vs 1,4.0763554513763856,0.9873,1FBI,2YPV,2,42
321,vs 1,3.756917651182522,0.9727,3RAJ,3VRL,2,42
322,vs 1,3.435891669853482,0.9831,3VRL,1WEJ,2,42
323,vs 1,4.682928960997365,0.9927,1FBI,1OB1,2,42
324,vs 1,3.756917651182522,0.9743,3VRL,3RAJ,2,42
325,vs 1,4.290610302588908,0.9883,1WEJ,1FBI,2,42
326,vs 1,2.0537190999870125,0.9498,3RAJ,1ADQ,2,42
327,vs 1,4.322922072501658,0.9886,2YPV,1OB1,2,42
328,vs 1,4.93882808409679,0.9851,3VRL,5E94,2,42
329,vs 1,3.873642899905951,0.9817,1FBI,1ADQ,2,42
330,vs 1,4.1307472460760915,0.9745,5E94,1WEJ,2,42
331,vs 1,3.4268395757420462,0.9777,1OB1,5E94,2,42
332,vs 1,3.911317919215552,0.9891,1H0D,1FBI,2,42
333,vs 1,2.664556098235485,0.971,3RAJ,1OB1,2,42
334,vs 1,3.0418102677184433,0.9705,2YPV,1ADQ,2,42
335,vs 1,2.664556098235485,0.9749,1OB1,3RAJ,2,42
336,vs 1,4.529891593769374,0.9929,1H0D,3VRL,2,42
337,vs 1,4.026072952703993,0.9888,1WEJ,2YPV,2,42
338,vs 1,3.4495256105612944,0.9796,1NSN,3RAJ,2,42
339,vs 1,3.5284657038892817,0.9803,5E94,1H0D,2,42
340,vs 1,3.4780048290456835,0.9611,1H0D,2YPV,2,42
341,vs 1,3.20997792112678,0.9792,1ADQ,1OB1,2,42
342,vs 1,3.435891669853482,0.9837,1WEJ,3VRL,2,42
343,vs 1,4.061132045275165,0.9854,5E94,1NSN,2,42
344,vs 1,4.061132045275165,0.9844,1NSN,5E94,2,42
345,vs 1,3.4572557128455608,0.9759,1ADQ,1NSN,2,42
346,vs 1,4.872897715003348,0.9921,1NSN,1FBI,2,42
347,vs 1,2.9727133334434632,0.9529,3RAJ,1WEJ,2,42
348,vs 1,3.4268395757420462,0.9735,5E94,1OB1,2,42
349,vs 1,3.2064729488458386,0.9796,1ADQ,1H0D,2,42
350,vs 1,4.322922072501658,0.989,1OB1,2YPV,2,42
351,vs 1,4.026072952703993,0.9873,2YPV,1WEJ,2,42
352,vs 1,4.621036974488788,0.9923,3VRL,2YPV,2,42
353,vs 1,3.155704478320734,0.9709,5E94,1ADQ,2,42
354,vs 1,4.277304287873081,0.9892,1OB1,3VRL,2,42
355,vs 1,4.290610302588908,0.9875,1FBI,1WEJ,2,42
356,vs 1,4.082082209673199,0.9866,1NSN,2YPV,2,42
357,vs 1,3.3908447909261037,0.9758,1H0D,3RAJ,2,42
358,vs 1,3.3908447909261037,0.98,3RAJ,1H0D,2,42
359,vs 1,3.4495256105612944,0.9808,3RAJ,1NSN,2,42
360,vs 1,4.682928960997365,0.9922,1OB1,1FBI,2,42
361,vs 1,3.5284657038892817,0.9812,1H0D,5E94,2,42
362,vs 1,3.5552421108358034,0.9721,1ADQ,1WEJ,2,42
363,vs 1,3.4780048290456835,0.9533,2YPV,1H0D,2,42
364,vs 1,4.1307472460760915,0.9755,1WEJ,5E94,2,42
365,vs 1,4.872897715003348,0.9921,1FBI,1NSN,2,42
366,vs 1,5.067362240009063,0.994,3VRL,1FBI,2,42
367,vs 1,3.6887863071613625,0.9912,1NSN,3VRL,2,42
368,vs 1,2.9727133334434632,0.9495,1WEJ,3RAJ,2,42
369,vs 1,3.911317919215552,0.9938,1FBI,1H0D,2,42
370,vs 1,4.082082209673199,0.9869,2YPV,1NSN,2,42
371,vs 1,3.4572557128455608,0.977,1NSN,1ADQ,2,42
372,vs 1,3.9402196925086876,0.9734,1NSN,1OB1,2,42
373,vs 1,2.0537190999870125,0.9494,1ADQ,3RAJ,2,42
374,vs 1,4.273464393552524,0.9854,1H0D,1WEJ,2,42
375,vs 1,3.155704478320734,0.969,1ADQ,5E94,2,42
376,vs 1,4.415536873614149,0.9878,5E94,1FBI,2,42
377,vs 1,3.4768791526825122,0.9708,1FBI,3RAJ,2,42
378,vs 1,4.277304287873081,0.9896,3VRL,1OB1,2,42
379,vs 1,4.273464393552524,0.9871,1WEJ,1H0D,2,42
380,vs 1,2.982723138946873,0.9841,2YPV,5E94,2,42
381,vs 1,4.05306891486875,0.9878,1WEJ,1NSN,2,42
382,vs 1,4.415536873614149,0.9889,1FBI,5E94,2,42
383,vs 1,4.93882808409679,0.9864,5E94,3VRL,2,42
384,vs 1,3.20997792112678,0.9805,1OB1,1ADQ,2,42
385,vs 1,3.285021692699048,0.9714,2YPV,3RAJ,2,42
386,vs 1,2.896740479087033,0.943,3RAJ,5E94,2,42
387,vs 1,3.8742631270266794,0.9828,1H0D,1NSN,2,42
388,vs 1,4.124484187496733,0.9731,3VRL,1ADQ,2,42
389,vs 1,2.982723138946873,0.9833,5E94,2YPV,2,42
390,vs 1,4.750259143857204,0.9942,1H0D,1OB1,3,42
391,vs 1,4.750259143857204,0.9942,1OB1,1H0D,3,42
392,vs 1,3.0418102677184433,0.972,1ADQ,2YPV,3,42
393,vs 1,4.05306891486875,0.9877,1NSN,1WEJ,3,42
394,vs 1,3.4768791526825122,0.9701,3RAJ,1FBI,3,42
