task_type	ag_pos	ag_neg	seed_id	split_id	mean	std	mean_pos	std_pos	mean_neg	std_neg	mean_fold	std_fold	mean_pos_fold	std_pos_fold	mean_neg_fold	std_neg_fold	mean_total	std_total	mean_pos_total	std_pos_total	mean_neg_total	std_neg_total
1v1	1H0DE1	1OB1E1	0	42	0.4107441471412241	0.17918223226414082	0.4211663271777361	0.17107330880589863	0.27480266840411016	0.22239175630805416	0.14334769731492975	0.3322760014708828	0.15036723736624386	0.32257058572088954	0.051788479254310744	0.43018263323754014	0.4376201978042131	0.19088398207643031	0.4511392976937672	0.18168633362150383	0.26128411228828924	0.2187430518695444
1v1	1H0DE1	1WEJE1	0	42	0.23746632266551668	0.24168696391219768	0.25619664286390614	0.21827371589522965	-0.16389768158568693	0.34836731226894413	0.08888785083793677	0.2205008895919367	0.09807063107101055	0.21356260083991263	-0.10788601129935897	0.2704258301003554	0.25067055988556664	0.25092052706759815	0.27035112559257246	0.22902296958227455	-0.17105584812170246	0.3204246284497591
1v1	1OB1E1	1H0DE1	0	42	-0.3600411601097514	0.16393169554475945	-0.3566700340017012	0.16289745549527163	-0.46117494335125636	0.16342866011263732	0.06325994532141255	0.21661925660352518	0.06756476462374833	0.21625973617603103	-0.0658846337486607	0.1862900553612286	-0.3553451256350783	0.17945406359062877	-0.3505329046721736	0.17791850408445162	-0.49971175452222033	0.1655258865374026
1v1	1OB1E1	1WEJE1	0	42	-0.46021963022178	0.1445169447676267	-0.47724435575420604	0.13189963129156024	-0.3467214600056065	0.17140441117572514	0.02152419347214717	0.26836451852053056	0.03442024284302614	0.2707581849806024	-0.06444946900037936	0.23460883563297918	-0.4880930362384566	0.1716341516835208	-0.5026562676546917	0.17166298690150833	-0.3910048267968892	0.13635831836181106
1v1	1WEJE1	1H0DE1	0	42	0.04760522028765684	0.3354385145686993	0.050046471940867227	0.3399253304023209	-0.0015474975622166817	0.22208775391990898	-0.17728698057791809	0.23739649142009697	-0.17778257083249924	0.23899880771462798	-0.16717289374973202	0.2023741646110812	0.017159042366869465	0.330200399144844	0.02216112827774233	0.3338529576542314	-0.08355409677822176	0.22338561373646434
1v1	1WEJE1	1OB1E1	0	42	0.27601424209488273	0.12678448644173648	0.27274740081523485	0.11527525197457958	0.31139519458204407	0.2122071304045658	0.0774052024323497	0.1587998746013511	0.0770082700941423	0.14626893534490681	0.08170410862232157	0.2585088331279145	0.3206259443578514	0.1448818229528678	0.31257809972044764	0.13428796881130908	0.4077867166041016	0.21183513137229992
1v9	1H0DE1	auto	0	42	-0.022178162254469	0.29693768031540446	-0.01590306448725108	0.29710454637936556	-0.111397561788373	0.28038493764852696	0.044545292072669496	0.27029874161107537	0.047854099188251176	0.2678397420632187	-0.0024993588597715193	0.2998781609029055	0.013601209828461018	0.2593369013825039	0.020778052152376773	0.25805582358396156	-0.08843920235991469	0.25660077136057513
1v9	1OB1E1	auto	0	42	-0.5745072419849728	0.12855949686386622	-0.5891515945583704	0.11394891252053306	-0.4711353414668714	0.17146302312385675	0.0676498923100542	0.22073585193437942	0.0695516464367115	0.21797932728496516	0.05422574553364967	0.2391374754688474	-0.5857742297751743	0.13785101390406726	-0.6016247593124526	0.12826115814902017	-0.47388813892379855	0.15090555429023988
1v9	1WEJE1	auto	0	42	-0.048617221090222366	0.3368393970226592	-0.05274418877669721	0.33892919588936593	-0.006648058176918832	0.3122497316014501	-0.009015307009198295	0.2256113539531941	-0.0019405342457769308	0.21091179896677195	-0.08145325339235221	0.3334641230663797	-0.04651577939189073	0.34498335889380083	-0.04702680496417817	0.3522540785638345	-0.041318909165238664	0.2601481309231528
high_vs_95low	1H0DE1	auto	0	42	-0.7163317043721219	0.16432588368021586	-0.7788388135188333	0.09010405675851318	-0.6538245952254105	0.1951393656718512	-0.1800885680909637	0.3162208547346056	-0.11635635719260551	0.28887696286369297	-0.2668777794822822	0.3309166415491909	-0.7286005382626743	0.15515076092205832	-0.7677679549994615	0.0867141097702093	-0.6894331215258871	0.19381179236097443
