Start Time	Duration	Run ID	Name	Source Type	Source Name	User	Status	N_closed	N_open	N_train	ag_neg	ag_pos	batch_size	epochs	learning_rate	momentum	optimizer_type	sample	sample_train	weight_decay	closed_f1	closed_precision	closed_recall	closed_roc_auc	open_acc	open_avg_precision	open_f1	open_fpr_abs_logit_model	open_fpr_naive_model	open_precision	open_recall	open_roc_auc	test_acc	test_loss	train_loss
2022-09-20 22:19:09	16.7min	ee0854d191384500a06312f06b628008	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	24016	131283	70056	['1FBI', '1NSN', '1OB1', '1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.8190619621342512	0.8697738176833447	0.7739377922341939	0.9745259175498073	0.15474021081912956	0.181471487577972	0.2678617243187167	0.9998647769786025	0.11971847078448847	0.15464521696570022	0.9998750832778148	0.5283960914318866	92.99633577614924	0.1868865365122861	0.1493825614452362
2022-09-20 22:05:44	17.3min	0d57a3bfe18b474c8544d3f9edd2857b	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	20799	131283	70227	['1FBI', '1NSN', '1OB1', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.8668407310704961	0.8565191506251241	0.8774141085586501	0.9777925632014453	0.1718546573559001	0.1876007582837591	0.2409324863490074	0.9542417906129588	0.19889094551465156	0.13773144160470774	0.9610077407567672	0.541905254644966	93.62469349487957	0.16714003987037218	0.13512931764125824
2022-09-20 21:44:00	35.2min	d51c75ace7c14ba7a455dd2e39963063	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	20376	131283	69881	['1FBI', '1OB1', '1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.800359510167397	0.8945253641386238	0.724130920918886	0.9729172667077919	0.5808293606050415	0.15634065573473496	0.24252606493893358	0.41902557711708505	0.26364418850879395	0.1601441407417898	0.49946014919513154	0.54503619769304	91.27895563407931	0.2116152843150973	0.15076464414596558
2022-09-20 21:05:10	1.1h	408a9c8c937c495180329116b279960e	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	16944	131283	69617	['1OB1', '1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.8692340245450697	0.9062431061107434	0.8351290912787152	0.9779934312156308	0.7217645907965485	0.15484685648504537	0.21999470439157243	0.24239848340720652	0.2924369491861094	0.16187030336765934	0.3432483474976393	0.5587203154000645	92.70538243626062	0.18741992518024625	0.28403639793395996
2022-09-20 20:59:29	1.1h	b8c4062a597f41b1b95e046db0e8bc44	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	16370	131283	70153	['1FBI', '1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.883408071748879	0.9302900832021588	0.8410245984956292	0.982479809273873	0.5053063601823193	0.11817229175356025	0.20869489854507242	0.5142936479448437	0.21782713679608176	0.12684198743695432	0.5883934025656689	0.5373110729547217	93.3292608430055	0.15711165916582104	0.2355029284954071
2022-09-20 20:57:50	1.2h	ca8caf77c0534eba8e844bb3d69e2dbc	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	16955	131283	70370	['1NSN', '1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.9008656224237428	0.9134796238244514	0.888595242935556	0.9844191167772012	0.7824309556254132	0.19445587412831103	0.23948311639313338	0.17170361175946788	0.23864475979372804	0.1995049699446038	0.29949867295782956	0.5963232771034189	94.3261574756709	0.1525512072345558	0.06979694217443466
2022-09-20 20:51:56	1.2h	94fd2964594e4aa7b65434a8b322c551	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	16529	131283	70534	['1FBI', '1NSN', '1WEJ']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.8963757018887187	0.9003281378178835	0.8924578166293963	0.9831437942384107	0.5809000622412254	0.15732803488422065	0.22883107182870657	0.43163613238438014	0.23137801543231035	0.1440573031770662	0.5560529977615101	0.590416741510212	93.85927763325064	0.17094504328725077	0.12397800385951996
2022-09-20 20:50:18	1.2h	939480405a2c40f5a6883ff933b03bf4	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	12805	131283	69744	['1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.9177364691383383	0.9273557492735575	0.9083146981093718	0.9845654304268846	0.806784742657265	0.14862629814925274	0.20877621781390326	0.15532868802398533	0.4283494435684742	0.16411241678209196	0.28684107770402184	0.6069668681774447	93.74463100351426	0.16079931412487575	0.2932871878147125
2022-09-20 20:49:28	1.3h	ddbfd20bcda04a8abdeccc0d7c4d3b99	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	20226	131283	69845	['1FBI', '1NSN', '1OB1', '1WEJ']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.8458773554079075	0.9110746128578132	0.7893880870095548	0.9786116653781594	0.1338402339134969	0.15756262253469058	0.2355668691858264	0.9995775828498638	0.1280820822193277	0.13351381689722341	0.9997033521210323	0.49469240895748595	93.00405418767922	0.1776176170656775	0.16585499048233032
2022-09-20 20:47:49	56.0min	18350f20432048b7ac0b45b6d73399a3	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	9223	131283	71373	['1NSN']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.969257481360433	0.9739326765188834	0.964626956698516	0.9955260111577064	0.9253412665651289	0.2612378167344399	0.31014073392082075	0.042581811452891694	0.531119794642109	0.39411666388099614	0.25566518486392714	0.6774979684501544	96.73641982001519	0.10054328518534272	0.009246109053492546
2022-09-20 20:47:43	56.0min	a468585e5bc4488faa930384a63328c2	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	12362	131283	69978	['1FBI', '1WEJ']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.91604305484367	0.923904052936311	0.9083146981093718	0.9846028843401762	0.6824880782484597	0.12417099252062477	0.20634451076269858	0.31400327195516725	0.34057722629738807	0.13144884159184125	0.4796149490373726	0.6113067507068675	93.37485843714609	0.17610847569771648	0.16275261342525482
2022-09-20 20:45:12	1.3h	c2d056c2821940a1800c9cd8a436dbf8	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	20630	131283	69794	['1NSN', '1OB1', '1WEJ', '5E94']	3VRL	64	50	0.01	0	Adam	None	73000	0	0.9074977817213842	0.9335919671382931	0.8828226154510143	0.9908386678024707	0.1420418265717878	0.1401694917241987	0.239137414695941	0.9918111024072989	0.06988719026835158	0.13594037260484904	0.992825981580223	0.4842996555686302	95.95734367426078	0.11022749733779545	0.13569767773151398
2022-09-20 20:41:44	1.0h	a2ac1eb03a0d419fa243275eee808ef2	v.0.1.1_dev_2	LOCAL	scripts/script_07_SN10_openset_NDBK.py	eugen	FINISHED	20630	131283	69771	['1NSN', '1OB1', '1WEJ', '3VRL']	5E+094	64	50	0.01	0	Adam	None	73000	0	0.8386268848251524	0.884702166064982	0.7971132343972352	0.9752518584145068	0.7393376472059666	0.24945568346294625	0.29852967227635074	0.23579285512102321	0.26930371792235097	0.2352317141261865	0.4084343189529811	0.6137035919882226	92.6854095976733	0.18852346181731106	0.2299705147743225
