task_type	ag_pos	ag_neg	seed_id	split_id	mean	std	mean_pos	std_pos	mean_neg	std_neg	mean_fold	std_fold	mean_pos_fold	std_pos_fold	mean_neg_fold	std_neg_fold	mean_total	std_total	mean_pos_total	std_pos_total	mean_neg_total	std_neg_total
high_vs_looser	5E94	auto	0	1	-0.6988411849470635	0.15003180638428867	-0.7078786879484513	0.12754600691543014	-0.6898036819456755	0.16909234187036912	0.10709557229819132	0.26693112327612084	0.14218614112542477	0.24164076680944452	0.07228019594718185	0.2856454796958047	-0.7200604238985541	0.1292649790316156	-0.7240394802554105	0.11501908290994642	-0.7160813675416975	0.14198996895633606
1v9	5E94	auto	0	2	-0.7611643428229125	0.10306966190711933	-0.7611643428229125	0.10306966190711933			0.17527584516066147	0.22415062064357266	0.17527584516066147	0.22415062064357266			-0.7674045777613998	0.09837618695109429	-0.7674045777613998	0.09837618695109429		
high_vs_95low	5E94	auto	0	2	-0.7368514299053273	0.138965030538926	-0.7832061782582407	0.0886908980781886	-0.6904966815524141	0.16267133301899098	0.051223715231543204	0.29342195814452643	0.147239495780473	0.21832837090105214	-0.043808771179234866	0.3255608028429718	-0.761755686976881	0.11419069525909996	-0.7989672853296389	0.07770581487820234	-0.7245440886241232	0.13142863021955056
high_vs_looser	5E94	auto	0	2	-0.6967852466526878	0.15332301495548445	-0.7064153669791322	0.13705094598944995	-0.6871551263262435	0.16748767106480666	0.10660760641206768	0.26338642988896777	0.14139945214756955	0.24242528589920034	0.07207498304712834	0.27841574527817203	-0.7161408634981334	0.1392266075781385	-0.7203956863103753	0.13059030897873486	-0.7118860406858918	0.14724785838387178
1v9	5E94	auto	0	3	-0.7707889457239427	0.10099264537201934	-0.7707889457239427	0.10099264537201934			0.17367096125858594	0.2181101465733896	0.17367096125858594	0.2181101465733896			-0.778084636301167	0.09556204114796074	-0.778084636301167	0.09556204114796074		
high_vs_95low	5E94	auto	0	3	-0.7390087225907546	0.14126459203727904	-0.7830306734438895	0.08547464352602675	-0.6949867717376197	0.16950754608044763	0.050305492821316244	0.2900946953240084	0.14399041870697935	0.22089241065896678	-0.042644131774441256	0.31922507330493816	-0.7636702994097163	0.11654272422832658	-0.8002809043563266	0.07065280848470387	-0.7270596944631061	0.13962128127351434
high_vs_looser	5E94	auto	0	3	-0.7015453143716518	0.15131743874293055	-0.7200900747615512	0.12601345184788387	-0.6830005539817525	0.17097126021827766	0.10054603818555671	0.2675297207631347	0.13650424447786558	0.24567203411962946	0.06488440933400115	0.2831198044255465	-0.7236870513713565	0.13123904960935331	-0.7368000419971761	0.1161376719620703	-0.7105740607455368	0.1435928051749114
1v9	5E94	auto	0	4	-0.7673595885863379	0.10075643343580074	-0.7673595885863379	0.10075643343580074			0.17068661970501348	0.21820514100788033	0.17068661970501348	0.21820514100788033			-0.7758432367981172	0.09440254894852923	-0.7758432367981172	0.09440254894852923		
high_vs_95low	5E94	auto	0	4	-0.734314541851941	0.13656480718196226	-0.7729928316196678	0.10104584107272405	-0.6956362520842141	0.1552441424431016	0.04254785954312711	0.2989678933632109	0.14077270965244504	0.23522232689358752	-0.055104078125891076	0.3226790806148738	-0.7619908280932125	0.11169904692640265	-0.7923018038914642	0.08507682273685178	-0.7316798522949608	0.1260155013426544
high_vs_looser	5E94	auto	0	4	-0.689609478639389	0.16547494370120344	-0.6966516276602203	0.1448890407523928	-0.6825673296185578	0.1835139091953795	0.10542288989695085	0.2653069619675433	0.13706952920662344	0.2452481475566332	0.07387835710652711	0.280386026385172	-0.7098042372518512	0.1472320807806858	-0.712807515406683	0.13508449765406402	-0.7068009590970195	0.15840784052218784
1v9	1H0D	auto	0	42	0.41986397887025306	0.3172869461609403	0.41986397887025306	0.3172869461609403			0.13864441944963654	0.26986979708542563	0.13864441944963654	0.26986979708542563			0.44945887542173485	0.28287754189877473	0.44945887542173485	0.28287754189877473		
high_vs_95low	1H0D	auto	0	42	-0.6286448637022992	0.2025716420232449	-0.6170444722330116	0.21309550744522382	-0.6402452551715868	0.19078748212385838	-0.16151214161373076	0.28635820941826257	-0.04124405265665131	0.22354468923472554	-0.25330675242116535	0.2949501236759467	-0.6349402738408373	0.20325373829778082	-0.6002067201453982	0.21663884996497554	-0.6696738275362766	0.18244647545781786
high_vs_looser	1H0D	auto	0	42	-0.6559287568681701	0.21856666691443707	-0.647529195860854	0.22821554830785884	-0.6643283178754862	0.2081558644404709	-0.10666539991712949	0.28582656068525836	-0.05140848610274469	0.26561144491061855	-0.15202531441117167	0.29377778664233434	-0.6482682784085915	0.2210629682061974	-0.633803972665106	0.24053860467834384	-0.662732584152077	0.19867086641148707
1v9	1H0D	auto	1	42	0.4607819348113879	0.26189641754128273	0.4607819348113879	0.26189641754128273			0.12214829787144953	0.26679382790176515	0.12214829787144953	0.26679382790176515			0.479435359360345	0.2445431509011736	0.479435359360345	0.2445431509011736		
high_vs_95low	1H0D	auto	1	42	-0.6347533082456499	0.20332234859753798	-0.6221731177449464	0.2160113924925032	-0.6473334987463534	0.188972799047958	-0.17313988562692978	0.2850180217744279	-0.05656487373134049	0.22312247913982136	-0.262115755615573	0.2949009929684704	-0.643520505580218	0.2026543474424861	-0.6083666672353963	0.2169883749554527	-0.6786743439250399	0.1805263195135351
high_vs_looser	1H0D	auto	1	42	-0.6555975987884841	0.21373135278714164	-0.6444815845105939	0.2263862806982225	-0.6667136130663747	0.19968323194828086	-0.11290418117160847	0.28844470465325667	-0.06560460021689087	0.269751941244733	-0.15173199111620742	0.2973956221094232	-0.6501927704721013	0.2127603460232951	-0.6347067735857835	0.22853188120558232	-0.665678767358419	0.19451590630168175
1v9	1H0D	auto	2	42	0.4859872456547494	0.28193325485195364	0.4859872456547494	0.28193325485195364			0.14488602145408225	0.26737050487396896	0.14488602145408225	0.26737050487396896			0.5101810025076068	0.25434457888540696	0.5101810025076068	0.25434457888540696		
high_vs_95low	1H0D	auto	2	42	-0.6153965691697274	0.21878234680766512	-0.5845172711005527	0.2402315695261252	-0.6462758672389021	0.19005882474292682	-0.1582051226363325	0.29260734204409744	-0.02467359286906847	0.22907332271888453	-0.26012305375006084	0.29484660437766763	-0.6220320069822661	0.2225454108954538	-0.5671819033845988	0.24405792057916129	-0.6768821105799336	0.18297619750956323
